momento,Número total de llamadas recibidas por mes (NLLR),Viento,Lluvia,Viento+Lluvia,Viento_Scaled,Lluvia_Scaled,Viento+Lluvia_Scaled,Número total de llamadas recibidas por mes (NLLR)_Scaled
2023-07-01,2907,3.1662734212352537,1.6187223024167323,4.784995723651986,0.0,0.02369437188487078,0.0,0.2009375
2023-06-01,3785,6.292716180877504,2.947254326688856,9.23997050756636,0.6673460247630826,0.9165652895226353,0.8820679836993548,0.338125
2023-05-01,3342,5.969081702735847,2.0218659142502937,7.990947616986141,0.5982655396660764,0.2946364342975907,0.6347662241772949,0.26890625
2023-04-01,4280,5.3816625733173336,1.7434032053646962,7.12506577868203,0.4728796455286469,0.10748907927105211,0.4633249289330348,0.41546875000000005
2023-03-01,3556,6.040154157939167,1.584604735016036,7.624758892955203,0.6134361102142846,0.0007648653648320014,0.56226225611317,0.30234375
2023-02-01,4078,7.340617604445532,1.5847266709106111,8.925344275356142,0.8910228687433378,0.0008468152253497951,0.8197731919832172,0.38390625
2023-01-01,3914,7.157259463676927,1.584604735016036,8.741864198692962,0.8518846737540012,0.0007648653648320014,0.7834448379248151,0.35828125
2022-12-01,3522,7.696301876625065,1.5834666666666666,9.279768543291732,0.9669444522675227,0.0,0.8899478426952412,0.29703124999999997
2022-11-01,2933,6.4891825653084165,1.8488873697371297,8.338069935045546,0.7092822029467981,0.1783821709833644,0.7034951167163173,0.20500000000000002
2022-10-01,3240,6.289480293728446,1.676687784055437,7.966168077783883,0.6666553175947375,0.06265142511090893,0.6298599701037466,0.25296874999999996
2022-09-01,3263,5.497231928100757,1.790266320932608,7.287498249033366,0.4975481763249624,0.13898452856096344,0.49548593736958946,0.2565625
2022-08-01,3435,6.268383427918625,2.1110086218082715,8.379392049726896,0.6621521455824805,0.35454686900586485,0.7116767375216198,0.2834375
2022-07-01,3765,6.555106053715556,2.6172141592103055,9.172320212925861,0.7233537153042015,0.6947541010754874,0.8686734838683634,0.33499999999999996
2022-06-01,2841,5.45301548829129,2.2992224583859016,7.752237946677191,0.4881100808264859,0.4810403655169968,0.5875026216224122,0.190625
2022-05-01,5277,5.108930625039193,2.002980065202222,7.111910690241414,0.41466441643226204,0.28194375917810377,0.4607202716905072,0.57125
2022-04-01,6089,6.903435857029531,2.2659946076616015,9.169430464691132,0.7977054714114161,0.4587088138303965,0.8681013247603007,0.698125
2022-03-01,4871,7.107776412944333,1.622253727098831,8.730030140043164,0.8413224086692809,0.026067748167013294,0.781101739532901,0.5078125
2022-02-01,5775,6.563735660776615,1.6016667279680878,8.165402388744702,0.7251957237496477,0.012231775477272944,0.6693076023524138,0.6490625
2022-01-01,4582,5.926250008824968,1.587236954449853,7.513486963274821,0.5891230211993174,0.002533909797602707,0.5402308392328996,0.46265625
2021-12-01,3579,6.301695175335605,1.5853503660035537,7.887045541339159,0.6692626107103236,0.001265984052135627,0.6141940102336765,0.3059375
2021-11-01,2341,6.561935357408606,1.6174580110841412,8.179393368492747,0.7248114450698914,0.022844675421655802,0.6720777628796732,0.11249999999999999
2021-10-01,3798,7.223405475578402,1.6592335354586092,8.88263901103701,0.8660036842365192,0.050920890448136635,0.8113177128349767,0.34015625000000005
2021-09-01,5384,6.069906113116256,1.9580189671053778,8.027925080221634,0.6197867299258165,0.25172660506943645,0.6420876205982617,0.58796875
2021-08-01,8021,6.596742007396495,1.9226015801448688,8.519343587541364,0.7322410004113734,0.2279235245128446,0.7393866072208519,1.0
2021-07-01,3739,6.710026614369444,1.9275428918704087,8.637569506239853,0.7564218468052785,0.2312444482498046,0.7627948873538655,0.3309375
2021-06-01,3774,6.1028836873260275,1.9942501524204423,8.09713383974647,0.6268258650538617,0.27607661778146664,0.6557906905210877,0.33640625
2021-05-01,3664,5.491288033179786,2.1236318810389063,7.614919914218692,0.4962794389924504,0.36303062464511004,0.5603141759204133,0.31921875
2021-04-01,4118,5.591664472798969,1.708194943706233,7.2998594165052015,0.5177050089163336,0.08382654624882702,0.49793340129405905,0.39015625
2021-03-01,3768,5.399709765322796,1.5869441057754485,6.986653871098245,0.4767318580170533,0.002337094019083663,0.43591990013618553,0.33546875
2021-02-01,3365,5.251542446588714,1.5834666666666666,6.8350091132553805,0.44510522073030245,0.0,0.4058948175538992,0.27249999999999996
2021-01-01,6649,7.29132867901074,1.8865337321786109,9.17786241118935,0.880502040126755,0.2036832864737983,0.8697708179464798,0.7856249999999999
2020-12-01,6374,7.8467614834455635,1.6028266158907687,9.449588099336331,0.9990603834450266,0.013011305195006706,0.9235714658712546,0.74265625
2020-11-01,4561,6.566515192496365,1.5834666666666666,8.149981859163033,0.7257890208564498,0.0,0.6662543964207457,0.459375
2020-10-01,3709,6.509825753596567,1.6688217928693627,8.17864754646593,0.7136885365027367,0.05736490236239744,0.6719300929683265,0.32625000000000004
2020-09-01,2777,6.256283857981854,1.6975390508851143,7.953822908866968,0.6595694659943946,0.07666500506832397,0.6274156738320171,0.18062499999999998
2020-08-01,3211,7.320323734389773,1.894150676918435,9.214474411308208,0.8866910979258485,0.20880243175233915,0.8770198540668741,0.24843749999999998
2020-07-01,3763,6.219355351632104,2.310668649707716,8.53002400133982,0.6516869957854202,0.48873304522832317,0.7415012883405507,0.3346875
2020-06-01,7047,6.764198668246781,3.071399578388074,9.835598246634856,0.7679849898363792,0.9999999999999998,1.0,0.8478125
2020-05-01,1621,5.16483468858469,1.81344279510543,6.978277483690119,0.4265972607039604,0.15456081831854984,0.4342614074375404,0.0
2020-04-01,2509,6.48983401185638,1.9280881304083928,8.417922142264773,0.7094212556330463,0.23161088851985245,0.7193055486114937,0.13874999999999998
2020-03-01,2022,6.242692733773106,1.5834666666666666,7.8261594004397725,0.6566684108943782,0.0,0.6021387869959891,0.06265624999999997
2020-02-01,2271,6.989855677887053,1.590766001597104,8.580621679484157,0.8161519706259431,0.004905688202025527,0.751519435267396,0.1015625
2020-01-01,3948,7.851163483706491,1.5982615552084671,9.449425038914958,0.9999999999999999,0.009943249742815574,0.9235391805309152,0.36359375000000005
